Name,Score,Review,Link,Addr
라공방 가로수길본점,2.5,218,https://place.map.kakao.com/814557849,"
서울 강남구 도산대로11길 29 SM빌딩 1층
(지번) 신사동 517-27
"
사이,4.1,44,https://place.map.kakao.com/1128592910,"
서울 강남구 압구정로2길 35 고황빌딩 1층
(지번) 신사동 519-1
"
가로수길생칼국수 신사점,4.1,31,https://place.map.kakao.com/15647559,"
서울 강남구 압구정로2길 46 강남상가 1층 19호
(지번) 신사동 510-11
"
스시사카우,4.5,94,https://place.map.kakao.com/330386453,"
서울 강남구 언주로153길 10-6 지하1층
(지번) 신사동 627-27
"
어게인리프레쉬 가로수길점,4,62,https://place.map.kakao.com/2014632878,"
서울 강남구 논현로153길 57 2층
(지번) 신사동 542-3
"
형훈텐동 도산본점,3.3,59,https://place.map.kakao.com/1114166927,"
서울 강남구 압구정로46길 75
(지번) 신사동 648-19
"
코레아노스키친 압구정점,3.2,39,https://place.map.kakao.com/20805720,"
서울 강남구 선릉로157길 25 지하1층
(지번) 신사동 657-11
"
우오하나,4.4,155,https://place.map.kakao.com/479540433,"
서울 강남구 압구정로2길 29 1층
(지번) 신사동 521-1
"
해남집,3.4,30,https://place.map.kakao.com/10917492,"
서울 강남구 강남대로160길 16 1층
(지번) 신사동 508-3
"
카페뮬라 가로수길점,2.6,113,https://place.map.kakao.com/935029515,"
서울 강남구 압구정로4길 13-12
(지번) 신사동 524-22
"
삿뽀로 압구정점,4,18,https://place.map.kakao.com/15674159,"
서울 강남구 압구정로30길 51 I.S.A 빌딩 지하 101호
(지번) 신사동 600
"
연탄공장,2.6,40,https://place.map.kakao.com/7997364,"
서울 강남구 압구정로48길 36-4
(지번) 신사동 642-19
"
